address,amenities,buildingSize,city,extraInfo,listingDate,listingID,price,propType,spaceAvailable,spaces,state,status,subType,transport,utilities
227 S Philadelphia Ave,,"13,387 SF",Shawnee,"Rental Rate,$8.07 /SF/YR,Rentable Building Area,13,387 SF,Property Type,Industrial,Year Built,1940,Property Subtype,Warehouse",4/9/2020,19175573,$0.67 SF/Mo,Industrial,"13,387 SF",1 Space,OK,For Lease,Industrial,"[('Port of Shreveport', '422 min drive', '368.9 mi'), ('S & S Farm Center', '3 min drive', '0.5 mi')]",
4422 SW 34th St,,"4,000 SF",Oklahoma City,"Rental Rate,$6.00 /SF/YR,Rentable Building Area,4,000 SF,Property Type,Industrial,Year Built,1987,Property Subtype,Warehouse",4/11/2020,19200526,$0.50 SF/Mo,Industrial,"4,000 SF",1 Space,OK,For Lease,Industrial,"[('Will Rogers World Airport', '10 min drive', '3.2 mi'), ('Port of Shreveport', '437 min drive', '400.5 mi'), ('APOLLO DISTRIBUTION, INC.-OKLAHOMA CITY-OK', '2 min drive', '0.6 mi')]","Gas - Natural,Water - City Water,Sewer - City Sewer"
7801 S Highway 51,"Yard,Fluorescent Lighting","29,967 SF",Broken Arrow,"Rental Rate,$5.50 /SF/YR,Rentable Building Area,29,967 SF,Property Type,Industrial,Year Built,1955,Property Subtype,Warehouse",4/13/2020,19212139,$0.46 SF/Mo,Industrial,"29,967 SF",1 Space,OK,For Lease,Industrial,"[('Tulsa International Airport', '27 min drive', '18.7 mi'), ('Port of Shreveport', '429 min drive', '370.3 mi'), ('KATY INTERMODALTRANSFER TERMINAL-TULSA-OK', '13 min drive', '8.0 mi')]",
2412 S Nicklas Ave,,"9,750 SF",Oklahoma City,"Rental Rate,$6.50 /SF/YR,Rentable Building Area,9,750 SF,Property Type,Industrial,Year Built,2010,Property Subtype,Warehouse",4/13/2020,19212545,$0.54 SF/Mo,Industrial,"9,750 SF",1 Space,OK,For Lease,Industrial,"[('Will Rogers World Airport', '12 min drive', '4.2 mi'), ('Port of Shreveport', '439 min drive', '401.5 mi'), ('APOLLO DISTRIBUTION, INC.-OKLAHOMA CITY-OK', '4 min drive', '1.6 mi')]",
211 N Boulder Ave,"24 Hour Access,Signage,Air Conditioning","17,593 SF",Tulsa,"Rental Rate,$7.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,5,000 SF,Rentable Building Area,17,593 SF,Property Type,Industrial,Year Built,1965",4/17/2020,19260650,$0.58 SF/Mo,Industrial,"5,000 - 17,593 SF",1 Space,OK,For Lease,Industrial,,
411 S Lincoln Ave,,"54,284 SF",Sand Springs,"Rental Rate,$8.00 /SF/YR,Rentable Building Area,54,284 SF,Property Type,Industrial,Year Built,2019,Property Subtype,Warehouse",9/13/2018,13332914,$0.67 SF/Mo,Industrial,"2,000 - 14,000 SF",6 Spaces,OK,For Lease,Industrial,,
7501 SW 29th St,"Fenced Lot,Signage","1,297,600 SF",Oklahoma City,"Rental Rate,$4.00 - $6.00 /SF/YR,Property Subtype,Manufacturing,Industrial Distribution,Industrial Warehouse,Total Space Available,322,113 SF,Rentable Building Area,1,297,600 SF,Max. Contiguous,166,861 SF,Year Built,1976,Property Type,Industrial",11/18/2019,4123092,$0.33 - $0.50 SF/Mo,Industrial,"3,000 - 322,113 SF",5 Spaces,OK,For Lease,"Flex, Industrial","[('Will Rogers World Airport', '19 min drive', '6.5 mi'), ('Port of Shreveport', '444 min drive', '403.6 mi'), ('D AND M DISTRIBUTION SERVICES, INC.-OKLAHOMA CITY-', '6 min drive', '1.4 mi')]","Gas - Natural,Water - City Water,Sewer - City Sewer,Heating"
500 10th St NE,,"19,500 SF",West Fargo,"Rental Rate,$6.25 /SF/YR,Rentable Building Area,19,500 SF,Property Type,Industrial,Year Built,2005,Property Subtype,Warehouse",5/10/2019,4298486,$0.52 SF/Mo,Industrial,"2,500 - 5,500 SF",2 Spaces,ND,For Lease,Industrial,"[('Hector International Airport', '19 min drive', '7.4 mi'), ('Port of Shreveport', '1,311 min drive', '1,155.1 mi'), ('UNION STORAGE AND TRANSFER CO.-FARGO-ND', '4 min drive', '1.8 mi')]",
920 38th St N,,"11,222 SF",Fargo,"Rental Rate,$8.10 /SF/YR,Rentable Building Area,11,222 SF,Property Type,Industrial,Year Built,1976,Property Subtype,Warehouse",10/7/2016,4551522,$0.68 SF/Mo,Industrial,"8,800 SF",1 Space,ND,For Lease,Industrial,,
3020 1st Ave W,"Floor Drains,Yard,Storage Space","18,057 SF",Williston,"Rental Rate,$10.00 /SF/YR,Rentable Building Area,18,057 SF,Property Type,Industrial,Year Built,1982,Property Subtype,Warehouse",9/12/2016,4628015,$0.83 SF/Mo,Industrial,"18,057 SF",1 Space,ND,For Lease,Industrial,"[('Port of Everett', '1,268 min drive', '1,157.8 mi'), ('SAVAGE INDUSTRIES, INC.-BOWBELLS-ND', '154 min drive', '109.5 mi')]","Lighting,Gas,Water,Sewer,Heating"
617 13th St NE,,"7,500 SF",West Fargo,"Rental Rate,$6.25 /SF/YR,Rentable Building Area,7,500 SF,Property Type,Industrial,Year Built,2004,Property Subtype,Warehouse",7/1/2019,6744514,$0.52 SF/Mo,Industrial,"1,250 SF",1 Space,ND,For Lease,Industrial,,
4119 N 14th Ave,Fenced Lot,"25,440 SF",Fargo,"Rental Rate,$6.00 /SF/YR,Rentable Building Area,25,440 SF,Property Type,Industrial,Year Built/Renovated,1990/2005,Property Subtype,Warehouse",3/21/2018,11998350,$0.50 SF/Mo,Industrial,"11,800 SF",1 Space,ND,For Lease,Industrial,"[('Hector International Airport', '15 min drive', '5.6 mi'), ('Port of Shreveport', '1,310 min drive', '1,154.6 mi'), ('UNION STORAGE AND TRANSFER CO.-FARGO-ND', '5 min drive', '2.1 mi')]",
6414 Wickum Rd,"24 Hour Access,Fenced Lot,Floor Drains,Yard","12,000 SF",Williston,"Rental Rate,$12.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,4,000 SF,Rentable Building Area,12,000 SF,Property Type,Industrial,Year Built,2014",10/23/2017,12084182,$1.00 SF/Mo,Industrial,"4,000 - 12,000 SF",1 Space,ND,For Lease,Industrial,"[('SAVAGE INDUSTRIES, INC.-BOWBELLS-ND', '139 min drive', '97.6 mi')]","Lighting,Gas,Water,Sewer,Heating"
4675 N Washington St,,"152,376 SF",Grand Forks,"Rental Rate,$5.50 /SF/YR,Rentable Building Area,152,376 SF,Property Type,Industrial,Year Built,2014,Property Subtype,Warehouse",8/3/2018,13374102,$0.46 SF/Mo,Industrial,"152,376 SF",1 Space,ND,For Lease,Industrial,,
896 22nd Ave N,Floor Drains,"38,250 SF",Wahpeton,"Rental Rate,$5.25 /SF/YR,Rentable Building Area,38,250 SF,Property Type,Industrial,Year Built/Renovated,1988/2011,Property Subtype,Warehouse",8/31/2018,13649361,$0.44 SF/Mo,Industrial,"38,000 SF",1 Space,ND,For Lease,Industrial,"[('Port of Shreveport', '1,278 min drive', '1,122.7 mi'), ('Minn-Kota AG Products, Inc.', '6 min drive', '3.3 mi')]",
1881 N Sheyenne Loop,,"23,200 SF",Fargo,"Rental Rate,$5.75 /SF/YR,Property Subtype,Warehouse,Min. Divisible,2,560 SF,Rentable Building Area,23,200 SF,Property Type,Industrial,Year Built,2017",12/3/2018,14537337,$0.48 SF/Mo,Industrial,"2,560 - 23,200 SF",1 Space,ND,For Lease,Industrial,"[('Hector International Airport', '14 min drive', '5.0 mi'), ('Port of Shreveport', '1,312 min drive', '1,156.1 mi'), ('UNION STORAGE AND TRANSFER CO.-FARGO-ND', '6 min drive', '2.8 mi')]",
2520 W Main Ave,"Floor Drains,Yard,Storage Space,Monument Signage","11,760 SF",West Fargo,"Rental Rate,$7.50 /SF/YR,Property Subtype,Warehouse,Min. Divisible,1,680 SF,Rentable Building Area,11,760 SF,Property Type,Industrial,Year Built,2020",4/18/2019,15777213,$0.63 SF/Mo,Industrial,"1,680 - 11,760 SF",1 Space,ND,For Lease,Industrial,"[('Hector International Airport', '23 min drive', '10.8 mi'), ('Port of Shreveport', '1,314 min drive', '1,158.0 mi'), ('UNION STORAGE AND TRANSFER CO.-FARGO-ND', '9 min drive', '4.5 mi')]",
4501 40th St,,"26,820 SF",Williston,"Rental Rate,$15.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,9,220 SF,Rentable Building Area,26,820 SF,Property Type,Industrial,Year Built,1990",5/22/2019,16133379,$1.25 SF/Mo,Industrial,"9,220 - 26,820 SF",1 Space,ND,For Lease,Industrial,"[('Port of Everett', '1,269 min drive', '1,158.8 mi'), ('SAVAGE INDUSTRIES, INC.-BOWBELLS-ND', '154 min drive', '109.0 mi')]","Lighting,Gas,Water,Sewer,Heating"
625 13th St NE,"Floor Drains,Yard,Storage Space","7,500 SF",West Fargo,"Rental Rate,$6.25 /SF/YR,Property Subtype,Warehouse,Min. Divisible,2,500 SF,Rentable Building Area,7,500 SF,Property Type,Industrial,Year Built,2004",5/30/2019,16187060,$0.52 SF/Mo,Industrial,"2,500 - 7,500 SF",1 Space,ND,For Lease,Industrial,,
628 1st St E,"Cooler,Freezer (Space)","12,600 SF",Williston,"Rental Rate,$7.62 /SF/YR,Rentable Building Area,12,600 SF,Property Type,Industrial,Year Built,1956,Property Subtype,Warehouse",5/31/2019,16204835,$0.64 SF/Mo,Industrial,"12,600 SF",1 Space,ND,For Lease,Industrial,"[('Port of Everett', '1,266 min drive', '1,157.2 mi'), ('SAVAGE INDUSTRIES, INC.-BOWBELLS-ND', '158 min drive', '111.8 mi')]","Water,Sewer"
5220 N Broadway,"Floor Drains,Yard,Fluorescent Lighting","32,000 SF",Minot,"Rental Rate,$9.24 /SF/YR,Rentable Building Area,32,000 SF,Property Type,Industrial,Year Built,2008,Property Subtype,Warehouse",1/7/2020,16550693,$0.77 SF/Mo,Industrial,"5,440 SF",2 Spaces,ND,For Lease,Industrial,,
1547 1st Ave N,,"18,188 SF",Fargo,"Rental Rate,$6.25 /SF/YR,Rentable Building Area,18,188 SF,Property Type,Industrial,Year Built,1957,Property Subtype,Warehouse",8/2/2019,16791712,$0.52 SF/Mo,Industrial,"18,188 SF",1 Space,ND,For Lease,Industrial,,"Lighting,Gas,Water,Sewer,Heating"
3515 4th Ave S,,"1,600 SF",Fargo,"Rental Rate,$7.50 /SF/YR,Property Subtype,Warehouse,Property Type,Industrial,Rentable Building Area,1,600 SF",9/18/2019,17233176,$0.63 SF/Mo,Industrial,"1,600 SF",1 Space,ND,For Lease,Industrial,"[('Hector International Airport', '16 min drive', '6.2 mi'), ('Port of Shreveport', '1,309 min drive', '1,152.9 mi'), ('UNION STORAGE AND TRANSFER CO.-FARGO-ND', '5 min drive', '1.7 mi')]",
3524 Burdick Expy E,"Conferencing Facility,Fluorescent Lighting,Air Conditioning","9,170 SF",Minot,"Rental Rate,$10.46 /SF/YR,Rentable Building Area,9,170 SF,Property Type,Industrial,Year Built,1968,Property Subtype,Warehouse",10/7/2019,17388289,$0.87 SF/Mo,Industrial,"9,170 SF",1 Space,ND,For Lease,Office,,"Lighting,Gas,Water,Sewer,Heating"
3108 S Broadway,Air Conditioning,"21,575 SF",Minot,"Rental Rate,$15.27 - $18.00 /SF/YR,Rentable Building Area,21,575 SF,Property Type,Industrial,Year Built,2004,Property Subtype,Warehouse",2/27/2020,17389924,$1.27 - $1.50 SF/Mo,Industrial,"1,100 - 4,400 SF",3 Spaces,ND,For Lease,Office/Retail,"[('Minot International Airport', '11 min drive', '4.8 mi'), ('Port of Everett', '1,409 min drive', '1,284.0 mi'), ('SUNPRAIRIE GRAIN-MINOT-ND', '8 min drive', '4.0 mi')]",
615 Main Ave W,,"14,784 SF",West Fargo,"Rental Rate,$6.50 /SF/YR,Rentable Building Area,14,784 SF,Property Type,Industrial,Year Built,1983,Property Subtype,Warehouse",10/16/2019,17466942,$0.54 SF/Mo,Industrial,"14,784 SF",1 Space,ND,For Lease,Industrial,,
515 SE 74th St,"Floor Drains,Yard","4,800 SF",Minot,"Rental Rate,$14.00 /SF/YR,Rentable Building Area,4,800 SF,Property Type,Industrial,Year Built,2017,Property Subtype,Warehouse",11/20/2019,17771377,$1.17 SF/Mo,Industrial,"4,800 SF",1 Space,ND,For Lease,Industrial,,"Lighting - Fluorescent,Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
