address,amenities,buildingSize,city,extraInfo,listingDate,listingID,price,propType,spaceAvailable,spaces,state,status,subType,transport,utilities
333 Stagg St,,"16,600 SF",Brooklyn,"Rental Rate,$35.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,1,800 SF,Rentable Building Area,16,600 SF,Property Type,Industrial,Year Built,1903",1/13/2020,18145105,$2.92 SF/Mo,Industrial,"1,800 - 16,600 SF",2 Spaces,NY,For Lease,Industrial,"[('Grand Street', '8 min walk', '0.4 mi'), ('Montrose Avenue Transit Stop', '9 min walk', '0.4 mi'), ('Morgan Avenue Transit Stop', '9 min walk', '0.5 mi'), ('Graham Avenue Transit Stop', '14 min walk', '0.7 mi'), ('Jefferson Street Transit Stop', '19 min walk', '0.9 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '8 min drive', '3.3 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '8 min drive', '3.3 mi'), ('La Guardia Airport', '13 min drive', '7.1 mi'), ('John F. Kennedy International Airport', '21 min drive', '12.2 mi'), ('Newark Liberty International Airport', '35 min drive', '15.7 mi'), ('NY - Red Hook Container Terminal', '12 min drive', '5.6 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '9 min drive', '3.3 mi')]",
21 Allen Ln,"24 Hour Access,Front Loading,Property Manager on Site,Security System,Fluorescent Lighting","7,000 SF",Bloomingburg,"Rental Rate,$14.57 /SF/YR,Rentable Building Area,7,000 SF,Property Type,Industrial,Year Built,2005,Property Subtype,Warehouse",1/27/2020,18314201,$1.21 SF/Mo,Industrial,700 SF,1 Space,NY,For Lease,Industrial,"[('Middletown New York Commuter Rail (Bergen County/Port Jervis, Main/Port Jervis Lines)', '14 min drive', '7.5 mi'), ('Otisville Commuter Rail (Bergen County/Port Jervis, Main/Port Jervis Lines)', '24 min drive', '9.8 mi'), ('Stewart International Airport', '37 min drive', '24.9 mi'), ('Port Newark Container Terminal', '99 min drive', '77.0 mi'), ('MHF, Inc.', '82 min drive', '67.2 mi')]","Lighting - Fluorescent,Water - Well,Sewer - Septic Field,Heating - Fired Oil"
1524 Rocky Point Rd,,"16,000 SF",Middle Island,"Rental Rate,$20.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,800 SF,Rentable Building Area,16,000 SF,Property Type,Industrial,Year Built,1985",1/30/2020,18346291,$1.67 SF/Mo,Industrial,"800 - 1,600 SF",1 Space,NY,For Lease,Industrial,"[('Yaphank Station Commuter Rail (Greenport Branch)', '14 min drive', '5.9 mi'), ('Medford Station Commuter Rail (Greenport Branch)', '14 min drive', '7.9 mi'), ('Long Island MacArthur Airport', '27 min drive', '16.3 mi'), ('NY - Red Hook Container Terminal', '87 min drive', '67.5 mi'), ('Pinter Warehouse', '40 min drive', '26.9 mi')]","Gas,Sewer"
29 Prospect St,,"14,989 SF",Newburgh,"Rental Rate,$14.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,1,000 SF,Rentable Building Area,14,989 SF,Property Type,Industrial,Year Built,1900",1/30/2020,18347778,$1.17 SF/Mo,Industrial,"1,000 - 7,200 SF",1 Space,NY,For Lease,Flex,"[('Beacon Station Commuter Rail (Hudson Line)', '10 min drive', '4.9 mi'), ('Breakneck Ridge Station Commuter Rail (Hudson Line)', '18 min drive', '9.6 mi'), ('Stewart International Airport', '13 min drive', '6.0 mi'), ('NY - Red Hook Container Terminal', '96 min drive', '70.8 mi'), (""Shepard'S Incorporated"", '57 min drive', '42.3 mi')]","Gas,Water,Sewer,Heating"
650 Cantiague Rock Rd,Property Manager on Site,"100,677 SF",Jericho,"Rental Rate,$16.00 /SF/YR,Rentable Building Area,100,677 SF,Property Type,Industrial,Year Built,1966,Property Subtype,Warehouse",1/30/2020,18346941,$1.33 SF/Mo,Industrial,"17,437 - 100,437 SF",2 Spaces,NY,For Lease,Industrial,"[('Westbury Station Commuter Rail (Port Jefferson Branch)', '6 min drive', '2.6 mi'), ('Hicksville Station Commuter Rail (Ronkonkoma Branch, Port Jefferson Branch, Montauk Branch)', '5 min drive', '2.7 mi'), ('John F. Kennedy International Airport', '28 min drive', '19.3 mi'), ('La Guardia Airport', '30 min drive', '20.3 mi'), ('Westchester County Airport', '61 min drive', '40.5 mi'), ('NY - Red Hook Container Terminal', '41 min drive', '28.4 mi'), ('Pinter Warehouse', '23 min drive', '15.3 mi')]","Water - City Water,Sewer - City Sewer"
335 Oser Ave,"Fenced Lot,Signage","20,450 SF",Hauppauge,"Rental Rate,$13.75 /SF/YR,Rentable Building Area,20,450 SF,Property Type,Industrial,Year Built,1969,Property Subtype,Warehouse",1/31/2020,18357447,$1.15 SF/Mo,Industrial,"2,200 SF",1 Space,NY,For Lease,Office,"[('Brentwood Station Commuter Rail (Ronkonkoma Branch)', '9 min drive', '3.3 mi'), ('Deer Park Station Commuter Rail (Ronkonkoma Branch)', '12 min drive', '5.9 mi'), ('Long Island MacArthur Airport', '20 min drive', '10.1 mi'), ('John F. Kennedy International Airport', '48 min drive', '39.1 mi'), ('NY - Red Hook Container Terminal', '62 min drive', '48.7 mi'), ('Pinter Warehouse', '14 min drive', '7.0 mi')]","Sewer - City Sewer,Heating - Fired Oil"
58-18 37th Ave,"Fenced Lot,Signage,Air Conditioning","4,900 SF",Woodside,"Rental Rate,$48.00 /SF/YR,Rentable Building Area,4,900 SF,Property Type,Industrial,Year Built,1920,Property Subtype,Warehouse",1/31/2020,18356640,$4.00 SF/Mo,Industrial,"2,000 SF",1 Space,NY,For Lease,Industrial,"[('Woodside Station Commuter Rail (Ronkonkoma Branch, Long Beach Branch, Port Jefferson Branch, Hempstead Branch, Montauk Branch, Port Washington Branch, Far Rockaway Branch, Babylon Branch)', '8 min walk', '0.4 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '7 min drive', '2.9 mi'), ('La Guardia Airport', '8 min drive', '3.5 mi'), ('John F. Kennedy International Airport', '21 min drive', '14.6 mi'), ('Newark Liberty International Airport', '38 min drive', '20.7 mi'), ('NY - Red Hook Container Terminal', '17 min drive', '8.4 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '12 min drive', '4.8 mi')]","Lighting,Water,Sewer,Heating"
1 Schuman Rd,,"8,500 SF",Millwood,"Rental Rate,$18.50 /SF/YR,Rentable Building Area,8,500 SF,Property Type,Industrial,Year Built,2008,Property Subtype,Warehouse",2/3/2020,18391784,$1.54 SF/Mo,Industrial,"8,500 SF",1 Space,NY,For Lease,Industrial,"[('Chappaqua Station Commuter Rail (Harlem Line)', '8 min drive', '3.6 mi'), ('Pleasantville Station Commuter Rail (Harlem Line)', '11 min drive', '5.9 mi'), ('Westchester County Airport', '23 min drive', '11.6 mi'), ('La Guardia Airport', '49 min drive', '37.2 mi'), ('Stewart International Airport', '58 min drive', '38.1 mi'), ('NY - Red Hook Container Terminal', '56 min drive', '42.9 mi'), ('GENESEE AND WYOMING-GREENWICH-CT-66 FIELD P', '31 min drive', '21.9 mi')]",
200 N Water St,,"40,000 SF",Peekskill,"Rental Rate,$18.00 /SF/YR,Rentable Building Area,40,000 SF,Property Type,Industrial,Year Built,1950,Property Subtype,Warehouse,Cross Streets,Main St",2/4/2020,18404514,$1.50 SF/Mo,Industrial,"8,000 SF",1 Space,NY,For Lease,Industrial,"[('Peekskill Station Commuter Rail (Hudson Line)', '16 min walk', '0.6 mi'), ('Cortlandt Station Commuter Rail (Hudson Line)', '9 min drive', '4.5 mi'), ('Stewart International Airport', '41 min drive', '24.2 mi'), ('Westchester County Airport', '38 min drive', '26.7 mi'), ('NY - Red Hook Container Terminal', '65 min drive', '52.4 mi'), ('GENESEE AND WYOMING-GREENWICH-CT-66 FIELD P', '41 min drive', '31.5 mi')]",
105 McLaughlin Rd,,"197,000 SF",Rochester,"Rental Rate,$3.75 /SF/YR,Rentable Building Area,197,000 SF,Property Type,Industrial,Year Built,1967,Property Subtype,Warehouse",2/5/2020,18417601,$0.31 SF/Mo,Industrial,"45,590 SF",1 Space,NY,For Lease,Industrial,"[('Greater Rochester International Airport', '12 min drive', '7.1 mi'), ('Albany, NY Port', '276 min drive', '232.0 mi'), ('J. MacKenzie Limited', '19 min drive', '10.4 mi')]","Gas,Water"
95 Jefferson St,"Cooler,Courtyard,Fenced Lot,Fitness Center,Freezer (Space),Restaurant,Skylights,Yard,Fluorescent Lighting,Air Conditioning","3,630 SF",Brooklyn,"Rental Rate,$57.00 /SF/YR,Rentable Building Area,3,630 SF,Property Type,Industrial,Year Built,1931,Property Subtype,Warehouse",2/5/2020,18418390,$4.75 SF/Mo,Industrial,"1,500 SF",1 Space,NY,For Lease,Retail,"[('Myrtle Avenue Transit Stop', '5 min walk', '0.2 mi'), ('Central Avenue Transit Stop', '7 min walk', '0.3 mi'), ('Flushing Avenue', '12 min walk', '0.6 mi'), ('Kosciuszko Street Transit Stop', '12 min walk', '0.6 mi'), ('Morgan Avenue Transit Stop', '13 min walk', '0.6 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '7 min drive', '2.6 mi'), ('East New York Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Far Rockaway Branch)', '7 min drive', '2.9 mi'), ('La Guardia Airport', '15 min drive', '8.3 mi'), ('John F. Kennedy International Airport', '19 min drive', '11.3 mi'), ('Newark Liberty International Airport', '37 min drive', '16.5 mi'), ('NY - Red Hook Container Terminal', '11 min drive', '5.2 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '7 min drive', '3.1 mi')]",
148-152 Randolph Ave,"24 Hour Access,Bus Line,Metro/Subway,Property Manager on Site,Signage,Storage Space","57,310 SF",Brooklyn,"Rental Rate,$26.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,3,000 SF,Rentable Building Area,57,310 SF,Property Type,Industrial,Year Built,1916",2/4/2020,18403438,$2.17 SF/Mo,Industrial,"3,000 - 10,000 SF",1 Space,NY,For Lease,Flex,"[('Jefferson Street Transit Stop', '7 min walk', '0.3 mi'), ('Morgan Avenue Transit Stop', '9 min walk', '0.4 mi'), ('DeKalb Avenue', '13 min walk', '0.6 mi'), ('Montrose Avenue Transit Stop', '15 min walk', '0.7 mi'), ('Grand Street', '20 min walk', '1.0 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '8 min drive', '3.3 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '9 min drive', '3.7 mi'), ('La Guardia Airport', '13 min drive', '6.6 mi'), ('John F. Kennedy International Airport', '19 min drive', '10.8 mi'), ('Newark Liberty International Airport', '37 min drive', '16.4 mi'), ('NY - Red Hook Container Terminal', '12 min drive', '5.6 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '7 min drive', '2.6 mi')]","Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
61-83 Gardner Ave,,"17,162 SF",Brooklyn,"Rental Rate,$29.00 - $29.50 /SF/YR,Rentable Building Area,17,162 SF,Property Type,Industrial,Year Built,1931,Property Subtype,Warehouse",4/9/2020,18420979,$2.42 - $2.46 SF/Mo,Industrial,"3,600 - 13,234 SF",2 Spaces,NY,For Lease,Flex,"[('Jefferson Street Transit Stop', '4 min walk', '0.2 mi'), ('DeKalb Avenue', '10 min walk', '0.5 mi'), ('Morgan Avenue Transit Stop', '11 min walk', '0.6 mi'), ('Montrose Avenue Transit Stop', '17 min walk', '0.9 mi'), ('Knickerbocker Avenue', '19 min walk', '1.0 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '15 min drive', '3.4 mi'), ('East New York Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Far Rockaway Branch)', '16 min drive', '3.7 mi'), ('La Guardia Airport', '14 min drive', '7.7 mi'), ('John F. Kennedy International Airport', '23 min drive', '13.4 mi'), ('Newark Liberty International Airport', '37 min drive', '21.3 mi'), ('NY - Red Hook Container Terminal', '1 min drive', '4.6 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '1 min drive', '2.0 mi')]",Heating - Gas
2200 Shames Dr,"Signage,Storage Space,Recessed Lighting,Fluorescent Lighting,Air Conditioning","9,000 SF",Westbury,"Rental Rate,$14.75 /SF/YR,Rentable Building Area,9,000 SF,Property Type,Industrial,Year Built,1959,Property Subtype,Warehouse",2/5/2020,18425712,$1.23 SF/Mo,Industrial,"9,000 SF",1 Space,NY,For Lease,Industrial,"[('Westbury Station Commuter Rail (Port Jefferson Branch)', '6 min drive', '2.4 mi'), ('Hicksville Station Commuter Rail (Ronkonkoma Branch, Port Jefferson Branch, Montauk Branch)', '7 min drive', '3.4 mi'), ('John F. Kennedy International Airport', '28 min drive', '19.4 mi'), ('La Guardia Airport', '32 min drive', '21.4 mi'), ('Westchester County Airport', '63 min drive', '42.1 mi'), ('NY - Red Hook Container Terminal', '41 min drive', '29.3 mi'), ('Pinter Warehouse', '25 min drive', '16.0 mi')]","Lighting - Fluorescent,Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
12 Rewe St,"Fenced Lot,Metro/Subway,Property Manager on Site,Security System,Waterfront,Yard,Air Conditioning","28,033 SF",Brooklyn,"Rental Rate,$19.50 /SF/YR,Rentable Building Area,28,033 SF,Property Type,Industrial,Year Built,1950,Property Subtype,Warehouse",2/6/2020,18436060,$1.63 SF/Mo,Industrial,"28,033 SF",1 Space,NY,For Lease,Industrial,"[('Grand Street', '14 min walk', '0.7 mi'), ('Graham Avenue Transit Stop', '16 min walk', '0.8 mi'), ('Morgan Avenue Transit Stop', '18 min walk', '0.9 mi'), ('Montrose Avenue Transit Stop', '19 min walk', '1.0 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '7 min drive', '2.9 mi'), ('Long Island City Station Commuter Rail (Hempstead Branch)', '8 min drive', '3.4 mi'), ('La Guardia Airport', '12 min drive', '6.7 mi'), ('John F. Kennedy International Airport', '22 min drive', '14.0 mi'), ('Newark Liberty International Airport', '35 min drive', '16.0 mi'), ('NY - Red Hook Container Terminal', '12 min drive', '5.8 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '9 min drive', '3.5 mi')]","Lighting - Fluorescent,Gas - Natural,Water - City Water,Heating - Gas"
70 Corbin Ave,"24 Hour Access,Commuter Rail,Property Manager on Site,Signage","41,000 SF",Bay Shore,"Rental Rate,$13.87 /SF/YR,Rentable Building Area,41,000 SF,Property Type,Industrial,Year Built,1980,Property Subtype,Warehouse",2/6/2020,18439160,$1.16 SF/Mo,Industrial,"2,250 SF",1 Space,NY,For Lease,Industrial,"[('Deer Park Station Commuter Rail (Ronkonkoma Branch)', '7 min walk', '0.4 mi'), ('Brentwood Station Commuter Rail (Ronkonkoma Branch)', '9 min drive', '3.2 mi'), ('Long Island MacArthur Airport', '23 min drive', '13.7 mi'), ('John F. Kennedy International Airport', '41 min drive', '33.6 mi'), ('NY - Red Hook Container Terminal', '56 min drive', '43.3 mi'), ('Pinter Warehouse', '6 min drive', '2.0 mi')]",Heating - Gas
1900 Ocean Ave,"Fenced Lot,Air Conditioning","38,900 SF",Ronkonkoma,"Rental Rate,$12.50 /SF/YR,Property Subtype,Warehouse,Min. Divisible,26,000 SF,Rentable Building Area,38,900 SF,Property Type,Industrial,Year Built,1987",1/24/2019,18432251,$1.04 SF/Mo,Industrial,"26,000 - 36,000 SF",1 Space,NY,For Lease,Industrial,"[('Ronkonkoma Station Commuter Rail (Ronkonkoma Branch, Greenport Branch)', '6 min drive', '2.1 mi'), ('Oakdale Station Commuter Rail (Montauk Branch)', '9 min drive', '3.6 mi')]",
150 Elmgrove Park,,"12,000 SF",Gates,"Rental Rate,$7.85 /SF/YR,Rentable Building Area,12,000 SF,Property Type,Industrial,Year Built,1989,Property Subtype,Warehouse",2/7/2020,18446529,$0.65 SF/Mo,Industrial,"4,800 SF",1 Space,NY,For Lease,Industrial,"[('Greater Rochester International Airport', '13 min drive', '7.3 mi'), ('Albany, NY Port', '278 min drive', '233.5 mi'), ('J. MacKenzie Limited', '20 min drive', '10.6 mi')]",
