address,amenities,buildingSize,city,extraInfo,highlights,hoodMarket,listingDate,listingID,price,propOverview,propType,spaceAvailable,spaceBullets,spaceSummary,spaces,state,status,subType,transport,utilities
30 Sherwood Ln,"24 Hour Access,Air Conditioning","109,400 SF",Fairfield,"Property Type,Industrial,Rentable Building Area,109,400 SF,Property Subtype,Warehouse,Year Built/Renovated,1960/2007",Not in a flood zone,,12/17/2019,18030852,Rent Upon Request,"Conveniently located industrial/flex building near Routes 80, 280, 287, 46, 3, 202, and 23.",Industrial,"3,900 SF","Includes 3,200 SF of dedicated office space,1 Loading Dock,Reception Area,Private Restrooms,Space is in Excellent Condition,Central Air and Heating,Kitchen","Well located, Industrial/Flex space in Fairfield NJ with parking area. Nicely renovated office and clean warehouse space with 1 Loading dock. Warehouse can be expanded by demoing existing office area if needed. Ramp can potentially be installed at tailgate door to create a drive-in. Building is also For Sale. Will consider Lease with an option to purchase.",1 Space,NJ,For Lease,Industrial,"[('Wayne/Route 23 Transit Center Commuter Rail (Montclair-Boonton Line)', '7 min drive', '3.2 mi'), ('Little Falls Commuter Rail (Montclair-Boonton Line)', '7 min drive', '3.5 mi'), ('Newark Liberty International Airport', '38 min drive', '22.8 mi'), ('La Guardia Airport', '40 min drive', '30.0 mi'), ('Port Newark Container Terminal', '34 min drive', '23.2 mi'), ('NS INDEPENDENT BULK TRANSFER TERMINAL-PATTERSON-NJ', '11 min drive', '8.2 mi')]","Gas,Water - City Water,Sewer - City Sewer,Heating - Gas"
750 Airport Rd,Air Conditioning,"41,060 SF",Lakewood,"Property Type,Industrial,Rentable Building Area,41,060 SF,Property Subtype,Warehouse,Year Built,1980",,,3/11/2020,18826418,Rent Upon Request,"Centrally located between NYC and Philadelphia, Lakewood Industrial Park is in a UEZ zone and is close in proximity to the parkway, Route 88, Route 70 , and Route 9. It is also minutes from multiple shipping services such as USPS, UPS and FedEx as well as restaurants and hotels.",Industrial,"23,916 SF",,"This space has about 3,000 sq ft of beautiful office in the front with 22' ceilings in the warehouse and 4 loading docks.",1 Space,NJ,For Lease,Industrial,"[('Point Pleasant Beach Commuter Rail (North Jersey Coast Line)', '16 min drive', '9.1 mi'), ('Bay Head Commuter Rail (North Jersey Coast Line)', '15 min drive', '9.7 mi'), ('New York Container Terminal', '68 min drive', '48.8 mi'), ('National Distribution Centers', '51 min drive', '30.2 mi')]","Gas - Propane,Water - City Water,Sewer - City Sewer,Heating - Gas"
12 Corkhill Rd,,"62,000 SF",Franklin,"Rental Rate,$7.00 /SF/YR,Rentable Building Area,62,000 SF,Property Type,Industrial,Year Built,1988,Property Subtype,Warehouse",Licensed Autobody shop - Owner is retiring,,2/2/2018,4491356,$0.58 SF/Mo,"Industrial building with a loading dock and drive in door.  4598 on ground floor and 950 on second floor suitable for storage - Very Inexpensive Rent and is inclusive of Taxes and CAM.
Industrial Park",Industrial,"2,720 SF","Lease rate does not include utilities, property expenses or building services,1 Drive In Bay,Private Restrooms,Includes 200 SF of dedicated office space,1 Loading Dock",Secure location - 200 AMP 3 Phase Electric - Private bathroom -,1 Space,NJ,For Lease,Industrial,"[('Maher Terminal', '64 min drive', '48.8 mi'), ('MHF, Inc.', '35 min drive', '24.9 mi')]","Water - City Water,Sewer - City Sewer,Heating - Gas"
901 Penhorn Ave,,"65,222 SF",Secaucus,"Rental Rate,$14.00 /SF/YR,Rentable Building Area,65,222 SF,Property Type,Industrial,Year Built,2004,Property Subtype,Warehouse",,,12/19/2019,9323116,$1.17 SF/Mo,"This 65,000 SF Industrial building was built in 2004 and sits on 12 Acres.  It's equipped with 20 loading docks and Heavy power.",Industrial,"5,464 SF","Lease rate does not include utilities, property expenses or building services",,1 Space,NJ,For Lease,Industrial,"[('Secaucus Junction Commuter Rail (Northeast Corridor Line, North Jersey Coast Line, Morris & Essex Morristown Line, Bergen County/Port Jervis Line, Montclair-Boonton Line, Pascack Valley Line, Morris & Essex Gladstone Branch, Main/Port Jervis Line)', '7 min drive', '2.4 mi'), ('Hoboken Terminal Commuter Rail (North Jersey Coast Line, Morris & Essex Morristown Line, Raritan Valley Line, Bergen County/Port Jervis Line, Montclair-Boonton Line, Pascack Valley Line, Morris & Essex Gladstone Branch, Main/Port Jervis Line)', '12 min drive', '5.5 mi'), ('Newark Liberty International Airport', '25 min drive', '11.0 mi'), ('La Guardia Airport', '27 min drive', '15.6 mi'), ('John F. Kennedy International Airport', '36 min drive', '23.5 mi'), ('NY - Red Hook Container Terminal', '22 min drive', '10.3 mi'), ('NDS-NORTH BERGEN-NJ', '3 min drive', '0.5 mi')]","Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
104 New Era Dr,,"30,324 SF",South Plainfield,"Rental Rate,$10.00 /SF/YR,Rentable Building Area,30,324 SF,Property Type,Industrial,Year Built,1975,Property Subtype,Warehouse",,,12/7/2018,12580335,$0.83 SF/Mo,,Industrial,"5,000 SF","Lease rate does not include utilities, property expenses or building services,Space is in Excellent Condition",,1 Space,NJ,For Lease,Flex,"[('Dunellen Commuter Rail (Raritan Valley Line)', '8 min drive', '2.7 mi'), ('Plainfield Commuter Rail (Raritan Valley Line)', '10 min drive', '3.7 mi'), ('Newark Liberty International Airport', '44 min drive', '21.9 mi'), ('Trenton Mercer Airport', '61 min drive', '36.8 mi'), ('New York Container Terminal', '33 min drive', '22.5 mi'), ('BASS TRANSPORTATION- SOUTH PLAINFEILD-NJ', '7 min drive', '2.2 mi')]","Water - City Water,Sewer - City Sewer,Heating - Gas"
6775 Speedway Blvd,"24 Hour Access,Signage,Skylights","95,065 SF",Las Vegas,"Rental Rate,$5.64 /SF/YR,Rentable Building Area,95,065 SF,Property Type,Industrial,Year Built,1998,Property Subtype,Warehouse,Cross Streets,I-15","(2) Dock Doors 10 x 10,3 phase Power,19,233 SF of Warehouse,(1) Grade Level Door 14 x 14,930 SF of office",,2/26/2020,18654787,$0.47 SF/Mo,"The sublease on this space expires March 31, 2021.  This is a great opportunity for a Tenant to take advantage of rent lower than the market for a year and then grow the rent with the landlord for a longer lease term.  The space has a well laid out office with a reception, 3 private offices, and a restroom.  The balance of the space is open warehouse with columns spaced 49 ft apart.  In addition there are two dock doors 10 x 10 and one large grade level door 14 x 14.  3 phase power 225 Amp  277/480 and a clear height of 26'9 ft.
Contact Bryan Houser 702-277-9207",Industrial,"20,167 SF","Sublease space available from current tenant,Includes 930 SF of dedicated office space,Lease rate does not include utilities, property expenses or building services","End cap space at building 6775 Speedway Blvd. The unit consists of 930 SF of office space that has a reception, restroom, and 3 private offices. There are Two dock doors that are 10 x 10 and one large grade door that is 14 x 14. 3 Phase Power 225 Amps 277/480 (1) 125 Amp 120/208V",1 Space,NV,For Lease,Industrial,"[('North Las Vegas Airport', '21 min drive', '13.5 mi'), ('McCarran International Airport', '29 min drive', '19.3 mi'), ('Henderson Airport', '40 min drive', '28.8 mi'), ('Port of Long Beach', '328 min drive', '293.8 mi'), ('UP-LAS VEGAS-NV', '19 min drive', '12.4 mi')]",Lighting - Metal Halide
4255 S Valley View Blvd,"Bus Line,Fenced Lot,Signage","9,280 SF",Las Vegas,"Rental Rate,$30.00 /SF/YR,Rentable Building Area,9,280 SF,Property Type,Industrial,Year Built,1984,Property Subtype,Warehouse",Privacy with low foot traffic,,2/28/2020,18678526,$2.50 SF/Mo,,Industrial,850 SF,"Sublease space available from current tenant,Fully Built Out as Standard Office,2 Private Offices,Space is in Excellent Condition,Fully Carpeted,Rate includes utilities, building services and property expenses,Fits 3 - 7 People,2 Workstations,Central Air and Heating",This is an upstairs office area with 2 private offices and a larger conference room area that can be used as open design offices. Location would be great for a construction or engineering firm that needs to place a few people near the Strip for a project. Bathrooms are downstairs and shared with the main tenant. All utilities are included in the lease. Building lease in effect for 4 more years,1 Space,NV,For Lease,Office,"[('McCarran International Airport', '11 min drive', '4.6 mi'), ('North Las Vegas Airport', '16 min drive', '8.4 mi'), ('Henderson Airport', '23 min drive', '13.7 mi'), ('Port of Long Beach', '311 min drive', '278.8 mi'), ('UP-LAS VEGAS-NV', '8 min drive', '4.6 mi')]",
2782 Abels Ln,"Fenced Lot,Skylights,Yard","9,998 SF",Las Vegas,"Rental Rate,$8.28 /SF/YR,Rentable Building Area,9,998 SF,Property Type,Industrial,Year Built,2007,Property Subtype,Warehouse","Large Fenced Yard!,Freestanding Building",,2/29/2020,18693761,$0.69 SF/Mo,"Large Fenced Yard!  $0.69/sf Base Rent + $0.14/sf NNN Fee = $8,298 total monthly. This M-1 zoned 9,998 SF freestanding building includes 988 SF HVAC office (reception, 4 offices & restroom) and balance evaporative cooled warehouse serviced by 2 grade level roll-up doors, 16'-18' clear height, 450 amp, 120/208 volt, 3 phase main switchgear, skylights, and fluorescent lighting.  See attached brochure with floor plan & details.",Industrial,"9,998 SF","Lease rate does not include utilities, property expenses or building services,2 Drive Ins,Freestanding Building,Includes 988 SF of dedicated office space,Large Fenced & Paved Yard,M-1 Zoning","Large Fenced Yard!  $0.69/sf Base Rent + $0.14/sf NNN Fee = $8,298 total monthly. This M-1 zoned 9,998 SF freestanding building includes 988 SF HVAC office (reception, 4 offices & restroom) and balance evaporative cooled warehouse serviced by 2 grade level roll-up doors, 16'-18' clear height, 450 amp, 120/208 volt, 3 phase main switchgear, skylights, and fluorescent lighting.  See attached brochure with floor plan & details.",1 Space,NV,For Lease,Industrial,"[('North Las Vegas Airport', '18 min drive', '8.8 mi'), ('McCarran International Airport', '26 min drive', '14.9 mi'), ('Henderson Airport', '35 min drive', '19.2 mi'), ('Port of Long Beach', '325 min drive', '289.5 mi'), ('UP-LAS VEGAS-NV', '16 min drive', '7.5 mi')]","Lighting - Fluorescent,Water - City Water,Sewer - County Sewer"
535-543 Vista Blvd,"Bus Line,Signage,Skylights","47,539 SF",Sparks,"Rental Rate,$9.00 /SF/YR,Rentable Building Area,47,539 SF,Property Type,Industrial,Year Built,2006,Property Subtype,Warehouse",,,3/4/2020,18739312,$0.75 SF/Mo,,Industrial,"8,307 SF","Sublease space available from current tenant,Includes 1,123 SF of dedicated office space,Lease rate does not include utilities, property expenses or building services,1 Drive In Bay","±8,307 SF industrial space with ±1,123 SF office available for sublease (exp. 10/31/2022). This space features one grade-level door (12' x 14 ') , 22' clear height, and 200 amps | 480 volts | 3-phase power. Estimated OPEX $0.1856 psf/mo.",1 Space,NV,For Lease,Industrial,,"Gas,Water,Sewer"
4420 Andrews St,"Bus Line,Fenced Lot,Signage","62,155 SF",North Las Vegas,"Rental Rate,$6.84 /SF/YR,Rentable Building Area,62,155 SF,Property Type,Industrial,Year Built,1980,Property Subtype,Warehouse,Cross Streets,Craig",,,3/3/2020,18725862,$0.57 SF/Mo,"4420 Andrews is located just off of East Craig and the I-15 at Craig and Andrews Street. The building is a 4 tenant distribution facility with dock high loading and private paved yard space. Only one unit available, unit B is a +/- 11,250 SF unit with +/- 500 SF of office built out, 10,750 SF warehouse with ESFR sprinklers, 21' clear height, Evaporative cooled warehouse (HVAC office), two (2) 9'x10' dock high doors, one with a ramp access if needed, 3 Phase 400 Amps 277/480 V power, private paved fenced yard space. Turn key and available now.",Industrial,"11,250 SF","Lease rate does not include utilities, property expenses or building services,Space is in Excellent Condition,Fast Access to the I-15 via Craig Road,21' clear height ESFR Sprinklers,Dock high loading,Includes 800 SF of dedicated office space,2 Loading Docks,Small clean office build out,400 Amps 277/480 V 3 Phase power,Paved yard access","Unit B is the last unit remaining for lease at Andrews Industrial Center. The space features 21' clear height, ESFR Sprinklers, a simple and clean office build out, 2- 9'x10' dock high doors (potential for tenant to add a ramp), Evaporative cooled warehouse, HVAC office. Potential for private yard access. Location is prime right off the I-15 and Craig Road.",1 Space,NV,For Lease,Industrial,"[('North Las Vegas Airport', '16 min drive', '9.2 mi'), ('McCarran International Airport', '24 min drive', '15.0 mi'), ('Henderson Airport', '35 min drive', '24.4 mi'), ('Port of Long Beach', '323 min drive', '289.5 mi'), ('UP-LAS VEGAS-NV', '14 min drive', '8.1 mi')]",
3072 Research Way,Skylights,"12,000 SF",Carson City,"Rental Rate,$6.60 /SF/YR,Rentable Building Area,12,000 SF,Property Type,Industrial,Year Built,1994,Property Subtype,Warehouse",,,3/4/2020,18746505,$0.55 SF/Mo,"Open Ware House
13 foot ceilings
CAM fees estimated at $0.13/SF/MO",Industrial,"4,300 SF","Lease rate does not include utilities, property expenses or building services","4,300+- sq ft
One grade level door & One dock high door 
One office
Two restrooms
Partial conditioned
200 amp 208 power",1 Space,NV,For Lease,Industrial,"[('Reno–Tahoe International Airport', '51 min drive', '30.4 mi'), ('Port of Richmond', '271 min drive', '208.2 mi'), ('BNSF NEVADA QDC-SPARKS-NV', '39 min drive', '29.9 mi')]","Lighting,Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
360 Lillard Dr,"Bus Line,Skylights","85,566 SF",Sparks,"Rental Rate,$5.40 /SF/YR,Rentable Building Area,85,566 SF,Property Type,Industrial,Year Built,1992,Property Subtype,Warehouse",,,3/9/2020,18801679,$0.45 SF/Mo,,Industrial,"85,566 SF","Lease rate does not include utilities, property expenses or building services,1 Drive In Bay,Includes 5,180 SF of dedicated office space,9 Loading Docks","±85,566 SF industrial building with ±5,180 SF office available. Warehouse features 9 dock-high doors, 1 grade-level door, 26' clear height, T-5 lighting, ESFR sprinkler system, front loading, 48' X 50' column spacing, and 1,000 amps | 480/277 volts | 3-phase power.",1 Space,NV,For Lease,Industrial,"[('Reno–Tahoe International Airport', '31 min drive', '10.4 mi'), ('Port of Richmond', '253 min drive', '213.2 mi'), ('ODC INTEGRATED LOGISTICS-SPARKS-NV', '1 min drive', '0.1 mi')]",
1420-1470 Kleppe Ln,"Bus Line,Front Loading","149,713 SF",Sparks,"Rental Rate,$5.40 /SF/YR,Rentable Building Area,149,713 SF,Property Type,Industrial,Year Built,1976,Property Subtype,Warehouse",,,3/9/2020,18801374,$0.45 SF/Mo,,Industrial,"65,983 SF","Lease rate does not include utilities, property expenses or building services,1 Drive In Bay,Includes 2,800 SF of dedicated office space,11 Loading Docks","±65,983 SF industrial space with ±2,800 SF office available. Space features 24' clear height, 11 dock-high doors, 1 (19' x 16') grade-level door, .18,3,000 sprinkler rating, T-5 warehouse lighting, and 1,000 amps | 480 volts | 3-phase power. $0.09 psf/mo estimated NNN's.",1 Space,NV,For Lease,Industrial,"[('Reno–Tahoe International Airport', '30 min drive', '10.3 mi'), ('Port of Richmond', '252 min drive', '213.2 mi'), ('BNSF NEVADA QDC-SPARKS-NV', '4 min drive', '1.6 mi')]",
1155 Watson Way,,"18,000 SF",Sparks,"Rental Rate,$11.40 /SF/YR,Rentable Building Area,18,000 SF,Property Type,Industrial,Year Built,1985,Property Subtype,Warehouse",,,3/11/2020,18829239,$0.95 SF/Mo,,Industrial,"2,200 SF","Listed rate may not include certain utilities, building services and property expenses",,1 Space,NV,For Lease,Industrial,"[('Reno–Tahoe International Airport', '28 min drive', '7.6 mi'), ('Port of Richmond', '252 min drive', '212.6 mi'), ('BNSF NEVADA QDC-SPARKS-NV', '2 min drive', '0.6 mi')]",
