,address,amenities,buildingSize,city,highlights,hoodMarket,listingDate,price,propOverview,propType,spaceAvailable,spaceBullets,spaceSummary,spaces,state,subType,transport,utilities,yearBuilt,yearRenovated,ceilingHeight,numDriveIns,numLoadingDocks,propInfo
1024,13937 Luthe Rd,"['Fenced Lot', 'Signage', 'Yard', 'Air Conditioning']",10655,Houston,"LEASE RATE REDUCED & Negotiable TI,Ideal for Fabricating or Distributing Company, Call Center, Private School - Flex Space,Fully Fenced, Easy Entry Grade Level Doors & Plenty of Parking,Great Location inside the Beltway & Close to Airport, Adjacent to Hardy Toll Road,Energy Efficient - 7 A/C Units, GAS Heat & 3-Phase Electric,6,655 SF Office Space; 4,000 SF Warehouse; Computer Room w/separate A/C",,2017-11-14,0.84,"LEASE RATE REDUCED!
Great Location off of Hardy Toll Road, just inside the Beltway. This very Well-Maintained Fenced Property features 28 offices, conference rooms & approx. 4,000 SF Warehouse.  It also has additional 1,000 SF 6-Office space upstairs, Computer Room w/separate A/C, a large Kitchen, Break Room, multiple Bathrooms w/shower & plenty of parking. Building has 7 A/C units, 3-Phase Electric, Gas Heat, Upgraded Carpeting (office space) & 4 large grade roll-up doors. Best of all, the lease rate is very, very reasonable and TI is negotiable.  Ideal  for Small to Midsize Fabricating or Distributing company, Call Center, Private School.  Warehouse can be converted into a Gym, Call Center space, etc. Previously occupied by an Engineering Company.  Environmentally Approved - No EPA Issues. Located near Hardy Toll Rd & Beltway 8, just inside the beltway. Very Close to Bush Intercontinental Airport.",Industrial,10655,"Lease rate does not include utilities, property expenses or building services,4 Drive Ins,Central Air and Heating,Kitchen,Secure Storage,Includes 6,655 SF of dedicated office space,Space is in Excellent Condition,Partitioned Offices,Private Restrooms,Shower Facilities",See Main Description; 1.69/SF/Yr NNNs,1,TX,Industrial,"defaultdict(None, {'Houston George Bush Intercontinental Airport': [7.1, 11.0, 38.7], 'William P. Hobby Airport': [25.4, 39.0, 39.1], 'Ellington Field Airport': [35.1, 52.0, 40.5], 'Port of Houston': [17.8, 25.0, 42.7], 'ADAMS DISTRIBUTION CENTER, INC.-HOUSTON-TX': [10.7, 16.0, 40.1]})","['Septic', 'Heating', 'Gas', 'Sewer', 'Well']",1984,1984,10,4,1,"LEASE RATE REDUCED & Negotiable TI,Ideal for Fabricating or Distributing Company, Call Center, Private School - Flex Space,Fully Fenced, Easy Entry Grade Level Doors & Plenty of Parking,Great Location inside the Beltway & Close to Airport, Adjacent to Hardy Toll Road,Energy Efficient - 7 A/C Units, GAS Heat & 3-Phase Electric,6,655 SF Office Space; 4,000 SF Warehouse; Computer Room w/separate A/C
See Main Description; 1.69/SF/Yr NNNs
Lease rate does not include utilities, property expenses or building services,4 Drive Ins,Central Air and Heating,Kitchen,Secure Storage,Includes 6,655 SF of dedicated office space,Space is in Excellent Condition,Partitioned Offices,Private Restrooms,Shower Facilities
LEASE RATE REDUCED!
Great Location off of Hardy Toll Road, just inside the Beltway. This very Well-Maintained Fenced Property features 28 offices, conference rooms & approx. 4,000 SF Warehouse.  It also has additional 1,000 SF 6-Office space upstairs, Computer Room w/separate A/C, a large Kitchen, Break Room, multiple Bathrooms w/shower & plenty of parking. Building has 7 A/C units, 3-Phase Electric, Gas Heat, Upgraded Carpeting (office space) & 4 large grade roll-up doors. Best of all, the lease rate is very, very reasonable and TI is negotiable.  Ideal  for Small to Midsize Fabricating or Distributing company, Call Center, Private School.  Warehouse can be converted into a Gym, Call Center space, etc. Previously occupied by an Engineering Company.  Environmentally Approved - No EPA Issues. Located near Hardy Toll Rd & Beltway 8, just inside the beltway. Very Close to Bush Intercontinental Airport.
"
1025,1242 Kress St,['Fenced Lot'],24244,Houston,,,2020-02-20,0.36,"• +/- 24,244 SF OFFICE/WAREHOUSE ON APPROXIMATELY 27,465 SF
• +/- 2,500 SF OFFICE
• (4) DOCK-HIGH LOADING DOORS
• FULLY FENCED PROPERTY; 3 PH / 240V / 200 AMP
• DID NOT FLOOD DURING HARVEY
• EASY ACCESS TO I-10, LOOP 610, HWY 90, AND HWY 59",Industrial,24244,"Lease rate does not include utilities, property expenses or building services,4 Loading Docks,Includes 2,500 SF of dedicated office space",Tilt-Wall Construction,1,TX,Industrial,"defaultdict(None, {'William P. Hobby Airport': [11.9, 25.0, 28.6], 'Houston George Bush Intercontinental Airport': [20.2, 26.0, 46.6], 'Ellington Field Airport': [21.9, 38.0, 34.6], 'Port of Houston': [4.5, 11.0, 24.5], 'MCC TRANSPORT, INC.-HOUSTON-TX': [0.3, 2.0, 9.0]})",['Heating'],1964,1964,10,1,4,"
Tilt-Wall Construction
Lease rate does not include utilities, property expenses or building services,4 Loading Docks,Includes 2,500 SF of dedicated office space
• +/- 24,244 SF OFFICE/WAREHOUSE ON APPROXIMATELY 27,465 SF
• +/- 2,500 SF OFFICE
• (4) DOCK-HIGH LOADING DOORS
• FULLY FENCED PROPERTY; 3 PH / 240V / 200 AMP
• DID NOT FLOOD DURING HARVEY
• EASY ACCESS TO I-10, LOOP 610, HWY 90, AND HWY 59
"
1026,2511 W Mt Houston Rd,"['Fenced Lot', 'Freezer (Space)', 'Signage', 'Skylights', 'Yard']",90000,Houston,,,2018-06-18,0.46,"Multi-tenant logistics and distribution facility, conveniently located with easy access to SH 249 and Beltway 8. Property features 8 18' tall drive-in doors, and will be adding a dock well to accommodate larger shipments within one month. Facility is equipped with 480v, 3-phase heavy power, and features 1.2 acre concrete storage yard.",Industrial,14000,"Listed rate may not include certain utilities, building services and property expenses,4 Drive Ins",,1,TX,Industrial,"defaultdict(None, {'Houston George Bush Intercontinental Airport': [13.2, 18.0, 44.0], 'William P. Hobby Airport': [25.2, 37.0, 40.9], 'Ellington Field Airport': [35.1, 50.0, 42.1], 'Port of Houston': [20.3, 27.0, 45.1], 'TENCON INDUSTRIES, INC.-HOUSTON-TX': [4.2, 8.0, 31.5]})","['Septic', 'Lighting', 'Sewer']",1985,1985,10,4,1,"

Listed rate may not include certain utilities, building services and property expenses,4 Drive Ins
Multi-tenant logistics and distribution facility, conveniently located with easy access to SH 249 and Beltway 8. Property features 8 18' tall drive-in doors, and will be adding a dock well to accommodate larger shipments within one month. Facility is equipped with 480v, 3-phase heavy power, and features 1.2 acre concrete storage yard.
"
1027,9135 Spring Branch Dr,['Air Conditioning'],16500,Houston,,,2020-02-18,0.775,,Industrial,7125,"Listed rate may not include certain utilities, building services and property expenses,1 Drive In Bay,Includes 689 SF of dedicated office space,Space is in Excellent Condition,Listed rate may not include certain utilities, building services and property expenses,Space is in Excellent Condition,1 Drive In Bay,Listed rate may not include certain utilities, building services and property expenses,Space is in Excellent Condition",,3,TX,Industrial,"defaultdict(None, {'William P. Hobby Airport': [24.1, 39.0, 37.1], 'Houston George Bush Intercontinental Airport': [25.1, 35.0, 43.0], 'Ellington Field Airport': [34.0, 53.0, 38.5], 'Port of Houston': [20.5, 31.0, 39.7], 'INTERCONTINENTAL TERMINALS CO.-HOUSTON-TX': [7.3, 14.0, 31.3]})","['Heating', 'Gas', 'Sewer']",1980,1980,10,1,1,"

Listed rate may not include certain utilities, building services and property expenses,1 Drive In Bay,Includes 689 SF of dedicated office space,Space is in Excellent Condition,Listed rate may not include certain utilities, building services and property expenses,Space is in Excellent Condition,1 Drive In Bay,Listed rate may not include certain utilities, building services and property expenses,Space is in Excellent Condition

"
1028,6230 Evergreen St,['Property Manager on Site'],30056,Houston,,,2020-03-18,0.355,,Industrial,26456,"Lease rate does not include utilities, property expenses or building services,Lease rate does not include utilities, property expenses or building services,Lease rate does not include utilities, property expenses or building services,Lease rate does not include utilities, property expenses or building services,Central Air Conditioning,Lease rate does not include utilities, property expenses or building services,Central Air Conditioning,Lease rate does not include utilities, property expenses or building services,Central Air Conditioning,Lease rate does not include utilities, property expenses or building services,Central Air Conditioning,Lease rate does not include utilities, property expenses or building services","Dock High
10% Broker Commission,100% climate controlled,100% climate controlled,100% climate controlled,100% climate controlled,10% Broker Commission
100% climate control
3PH
2 Offices",8,TX,Industrial,"defaultdict(None, {'William P. Hobby Airport': [21.4, 35.0, 36.7], 'Houston George Bush Intercontinental Airport': [30.2, 37.0, 49.0], 'Ellington Field Airport': [31.2, 48.0, 39.0], 'Port of Houston': [20.3, 30.0, 40.6], 'INTERCONTINENTAL TERMINALS CO.-HOUSTON-TX': [6.1, 12.0, 30.5]})",[],1970,1970,10,1,1,"
Dock High
10% Broker Commission,100% climate controlled,100% climate controlled,100% climate controlled,100% climate controlled,10% Broker Commission
100% climate control
3PH
2 Offices
Lease rate does not include utilities, property expenses or building services,Lease rate does not include utilities, property expenses or building services,Lease rate does not include utilities, property expenses or building services,Lease rate does not include utilities, property expenses or building services,Central Air Conditioning,Lease rate does not include utilities, property expenses or building services,Central Air Conditioning,Lease rate does not include utilities, property expenses or building services,Central Air Conditioning,Lease rate does not include utilities, property expenses or building services,Central Air Conditioning,Lease rate does not include utilities, property expenses or building services

"
1029,1800-1802 South St,None,66000,Houston,,,2018-01-03,0.32,,Industrial,61933,"Lease rate does not include utilities, property expenses or building services,12 Drive Ins,Includes 3,000 SF of dedicated office space,13 Loading Docks",,1,TX,Industrial,"defaultdict(None, {'William P. Hobby Airport': [14.1, 25.0, 33.8], 'Houston George Bush Intercontinental Airport': [18.5, 24.0, 46.2], 'Ellington Field Airport': [24.0, 39.0, 36.9], 'Port of Houston': [10.1, 17.0, 35.6], 'PALMER LOGISTICS-HOUSTON-TX': [4.2, 8.0, 31.5]})",[],1982,1982,10,12,13,"

Lease rate does not include utilities, property expenses or building services,12 Drive Ins,Includes 3,000 SF of dedicated office space,13 Loading Docks

"
1030,1730 Elmview Dr,None,12516,Houston,,,2019-05-08,0.85,"Fully air conditioned warehouse space with a small office area, 3 roll up garage doors. Space is in a gated business park.",Industrial,3100,"Lease rate does not include utilities, property expenses or building services,2 Drive Ins,Includes 200 SF of dedicated office space",,1,TX,Industrial,"defaultdict(None, {'William P. Hobby Airport': [25.2, 41.0, 36.9], 'Houston George Bush Intercontinental Airport': [27.5, 34.0, 48.5], 'Ellington Field Airport': [35.1, 54.0, 39.0], 'Port of Houston': [21.7, 32.0, 40.7], 'INTERCONTINENTAL TERMINALS CO.-HOUSTON-TX': [8.4, 15.0, 33.6]})",[],1984,1984,10,2,1,"

Lease rate does not include utilities, property expenses or building services,2 Drive Ins,Includes 200 SF of dedicated office space
Fully air conditioned warehouse space with a small office area, 3 roll up garage doors. Space is in a gated business park.
"
1031,19407 Park Row,"['24 Hour Access', 'Fenced Lot', 'Signage', 'Air Conditioning']",55000,Houston,"I- freeway access,Katy Area,1/2 office 1/2 warehouse- Air conditioned warehouse,3-Semi-dock loading with 1-ramp,Energy Corridor,Park-like setting with lush landscaping",,2019-08-07,0.83,"Westgate Service Center is located near the Energy Corridor. The Texas Children's Hospital and Houston Methodist Hospital is also within the vicinity. With easy access to I-10 and Highway 6, the center is also next to the Houston Community College Katy campus.",Industrial,2490,"Lease rate does not include utilities, property expenses or building services",,1,TX,Industrial,"defaultdict(None, {'William P. Hobby Airport': [35.1, 52.0, 40.5], 'Houston George Bush Intercontinental Airport': [36.3, 45.0, 48.4], 'Port of Houston': [31.4, 44.0, 42.8], 'TENCON INDUSTRIES, INC.-HOUSTON-TX': [24.6, 33.0, 44.7]})",[],1984,1984,10,1,1,"I- freeway access,Katy Area,1/2 office 1/2 warehouse- Air conditioned warehouse,3-Semi-dock loading with 1-ramp,Energy Corridor,Park-like setting with lush landscaping

Lease rate does not include utilities, property expenses or building services
Westgate Service Center is located near the Energy Corridor. The Texas Children's Hospital and Houston Methodist Hospital is also within the vicinity. With easy access to I-10 and Highway 6, the center is also next to the Houston Community College Katy campus.
"
1032,11500 Main St,['Fenced Lot'],139413,Houston,,,2019-10-29,0.4,,Industrial,43253,"Lease rate does not include utilities, property expenses or building services,Includes 786 SF of dedicated office space,Lease rate does not include utilities, property expenses or building services,Includes 1,006 SF of dedicated office space",,2,TX,Industrial,"defaultdict(None, {'William P. Hobby Airport': [15.3, 29.0, 31.7], 'Ellington Field Airport': [26.1, 43.0, 36.4], 'Houston George Bush Intercontinental Airport': [29.0, 37.0, 47.0], 'Port of Houston': [15.2, 24.0, 38.0], 'INTERCONTINENTAL TERMINALS CO.-HOUSTON-TX': [8.5, 15.0, 34.0]})",['Sewer'],1975,1975,10,1,1,"

Lease rate does not include utilities, property expenses or building services,Includes 786 SF of dedicated office space,Lease rate does not include utilities, property expenses or building services,Includes 1,006 SF of dedicated office space

"
1033,3314 W Main St,None,6751,Houston,,,2020-04-14,,,Industrial,6751,Sublease space available from current tenant,,1,TX,Industrial,"defaultdict(None, {'William P. Hobby Airport': [15.8, 29.0, 32.7], 'Houston George Bush Intercontinental Airport': [24.6, 31.0, 47.6], 'Ellington Field Airport': [25.6, 42.0, 36.6], 'Port of Houston': [14.7, 23.0, 38.3], 'INTERCONTINENTAL TERMINALS CO.-HOUSTON-TX': [2.5, 7.0, 21.4]})",[],1957,1957,10,1,1,"

Sublease space available from current tenant

"
1034,1521 Greens Rd,None,248283,Houston,,,2020-04-16,,"This state-of-the-art distribution center is located in the heart of the North Houston Industrial market. The facility offers immediate access to Hardy Toll Road,
Sam Houston Tollroad, Interstate 45 and U.S Highway 59. The property is less than three miles from Bush Continental Airport.",Industrial,195986,"Includes 5,308 SF of dedicated office space,Space is in Excellent Condition,1 Drive In Bay,38 Loading Docks,Includes 2,548 SF of dedicated office space,Space is in Excellent Condition,1 Drive In Bay,13 Loading Docks","This space offers 370'deep cross-dock configuration, 2500 amp electrical service and 30' clear height.,This suite offers 30' clear height, 185' deep front-load configuration along with 200 amp electrical service.",2,TX,Industrial,"defaultdict(None, {'Houston George Bush Intercontinental Airport': [5.6, 9.0, 37.3], 'William P. Hobby Airport': [29.1, 44.0, 39.7], 'Ellington Field Airport': [37.3, 54.0, 41.4], 'Port of Houston': [20.7, 30.0, 41.4], 'SOUTH COAST TERMINALS, L.P.-HOUSTON-TX-3730FM 196': [9.3, 18.0, 31.0]})",[],2008,2008,10,1,38,"
This space offers 370'deep cross-dock configuration, 2500 amp electrical service and 30' clear height.,This suite offers 30' clear height, 185' deep front-load configuration along with 200 amp electrical service.
Includes 5,308 SF of dedicated office space,Space is in Excellent Condition,1 Drive In Bay,38 Loading Docks,Includes 2,548 SF of dedicated office space,Space is in Excellent Condition,1 Drive In Bay,13 Loading Docks
This state-of-the-art distribution center is located in the heart of the North Houston Industrial market. The facility offers immediate access to Hardy Toll Road,
Sam Houston Tollroad, Interstate 45 and U.S Highway 59. The property is less than three miles from Bush Continental Airport.
"
1035,7203-7205 Belgold St,"['Fenced Lot', 'Signage']",47652,Houston,,,2019-07-08,0.5,"Office Warehouse property with heavy power available.
Located in the FM 1960/Hwy 249 area off Cutten Road.",Industrial,14400,"Listed rate may not include certain utilities, building services and property expenses","Office and warehouse with 3 phase power, Call John for details 7134081631",1,TX,Industrial,"defaultdict(None, {'Houston George Bush Intercontinental Airport': [16.7, 23.0, 43.6], 'William P. Hobby Airport': [33.6, 49.0, 41.1], 'Port of Houston': [28.7, 39.0, 44.2], 'SOUTH COAST TERMINALS, L.P.-HOUSTON-TX-3730FM 196': [4.3, 9.0, 28.7]})",['Sewer'],1981,1981,10,1,1,"
Office and warehouse with 3 phase power, Call John for details 7134081631
Listed rate may not include certain utilities, building services and property expenses
Office Warehouse property with heavy power available.
Located in the FM 1960/Hwy 249 area off Cutten Road.
"
1036,1201 Upland Dr,None,25000,Houston,,,2019-11-21,0.75,"Office Warehouse  property serving the small to medium user.
Located On Upland Drive close to I-10 and Beltway 8 (Sam Houston Tollway)",Industrial,4500,"Listed rate may not include certain utilities, building services and property expenses,Listed rate may not include certain utilities, building services and property expenses","Multiple office and warehouse close to Katy Freeway and Beltway 8. Call Mickey for details 7135537723,Reception plus 1 office and warehouse. Call Mickey for details 7135537723",2,TX,Flex,"defaultdict(None, {'Houston George Bush Intercontinental Airport': [27.6, 35.0, 47.3], 'William P. Hobby Airport': [28.5, 44.0, 38.9], 'Ellington Field Airport': [40.7, 56.0, 43.6], 'Port of Houston': [24.8, 36.0, 41.3], 'INTERCONTINENTAL TERMINALS CO.-HOUSTON-TX': [11.7, 19.0, 36.9]})","['Sewer', 'Heating']",1976,1976,10,1,1,"
Multiple office and warehouse close to Katy Freeway and Beltway 8. Call Mickey for details 7135537723,Reception plus 1 office and warehouse. Call Mickey for details 7135537723
Listed rate may not include certain utilities, building services and property expenses,Listed rate may not include certain utilities, building services and property expenses
Office Warehouse  property serving the small to medium user.
Located On Upland Drive close to I-10 and Beltway 8 (Sam Houston Tollway)
"
1037,4800 W 34th St,"['Property Manager on Site', 'Air Conditioning']",58824,Houston,,,2020-01-09,1.0,"Under New Management! Industrial Flex Space, Retail with Street Frontage,  Office Suites, Office/Warehouses, Raw Warehouse, Lab Space.
Located in the Near Northwest corridor of Houston, just outside the 610 Loop on the North side of Highway 290. At the corner of 34th Street and Mangum just half a mile from US 290.",Industrial,9308,"Listed rate may not include certain utilities, building services and property expenses,Listed rate may not include certain utilities, building services and property expenses,Listed rate may not include certain utilities, building services and property expenses,Fits 4 - 12 People,Listed rate may not include certain utilities, building services and property expenses,Fits 2 - 4 People,Listed rate may not include certain utilities, building services and property expenses","Office / Showroom / Warehouse. 50% HVAC. Call for details 713-5216-1094.,100% HVAC. Multiple offices and showroom/bull pen/ many other uses. Call Trevor for details cell 7134124082 or 7135261094 ext 211.,100% HVAC. 5 offices and reception. 2 WC. Call Trevor for details cell 7134124082 or 7135261094 ext 211.,Office space electric included.  Call Trevor for details cell 7134124082 or 7135261094 ext 211.,Office and warehouse. Call Trevor for details cell 7134124082 or 7135261094 ext 211.",5,TX,"Office, Flex","defaultdict(None, {'Houston George Bush Intercontinental Airport': [19.2, 29.0, 39.7], 'William P. Hobby Airport': [22.2, 36.0, 37.0], 'Ellington Field Airport': [32.0, 49.0, 39.2], 'Port of Houston': [17.3, 25.0, 41.5], 'ADAMS DISTRIBUTION CENTER, INC.-HOUSTON-TX': [4.7, 9.0, 31.3]})",[],1980,1980,10,1,1,"
Office / Showroom / Warehouse. 50% HVAC. Call for details 713-5216-1094.,100% HVAC. Multiple offices and showroom/bull pen/ many other uses. Call Trevor for details cell 7134124082 or 7135261094 ext 211.,100% HVAC. 5 offices and reception. 2 WC. Call Trevor for details cell 7134124082 or 7135261094 ext 211.,Office space electric included.  Call Trevor for details cell 7134124082 or 7135261094 ext 211.,Office and warehouse. Call Trevor for details cell 7134124082 or 7135261094 ext 211.
Listed rate may not include certain utilities, building services and property expenses,Listed rate may not include certain utilities, building services and property expenses,Listed rate may not include certain utilities, building services and property expenses,Fits 4 - 12 People,Listed rate may not include certain utilities, building services and property expenses,Fits 2 - 4 People,Listed rate may not include certain utilities, building services and property expenses
Under New Management! Industrial Flex Space, Retail with Street Frontage,  Office Suites, Office/Warehouses, Raw Warehouse, Lab Space.
Located in the Near Northwest corridor of Houston, just outside the 610 Loop on the North side of Highway 290. At the corner of 34th Street and Mangum just half a mile from US 290.
"
1038,18209-18235 Ammi Trl,"['24 Hour Access', 'Fenced Lot', 'Property Manager on Site', 'Security System', 'Signage', 'Storage Space', 'Recessed Lighting', 'Air Conditioning']",54000,Houston,"Warehouse,insulated warehouse,24ft ceiling warehouse,3 phase power,air conditioning,common area above ground loading dock and all suite have there own ground level roll up bay doors",,2020-03-27,0.605,"Newly updated warehouse, office suites for lease. It is located by I-45 and Rankin Rd. Also Easily accessible to Sam Houston Parkway and Hardy Toll Road.
Typically each suite is 30% Office and 70% Warehouse 
24ft high ceiling inside the warehouse . 
Insulated warehouse, with 3 phase power. 
Move in ready
Each warehouse has its own ground level & above ground loading dock with a 15ft bay door. Bigger suites have Multiple bay doors. insulated warehouse
Onsite property manager
newskylinelisting.com
Please contact us for a showing or any additional questions",Industrial,25900,"Rate includes utilities, building services and property expenses,2 Loading Docks,3 phase power,25 ft ceiling,1 Drive In Bay,Secure Storage,warehouse only,insulated warehouse,Lease rate does not include utilities, property expenses or building services,2 Drive Ins,Central Air and Heating,Kitchen,Secure Storage,Natural Light,Includes 800 SF of dedicated office space,2 Loading Docks,Reception Area,Private Restrooms,Emergency Lighting,Lease rate does not include utilities, property expenses or building services,2 Drive Ins,2 Loading Docks,Partitioned Offices,Kitchen,Emergency Lighting,Includes 1,000 SF of dedicated office space,Space is in Excellent Condition,Central Air and Heating,Reception Area,Private Restrooms,Natural Light,Rate includes utilities, building services and property expenses,Office intensive layout,24' Finished Ceilings,Central Air and Heating,Wi-Fi Connectivity,Fully Carpeted,Natural Light,Emergency Lighting,Fully Built Out as Professional Services Office,Fits 32 - 100 People,Space is in Excellent Condition,Kitchen,Private Restrooms,Security System,After Hours HVAC Available","Warehouse only. 60x40 warehouse insulated . One roll up door ground level.. 3 phase power... 25 ft ceiling height... Electricity included.. No Bathroom or office space warehouse only. Can add a single office and bathroom but will increase the rental price.,4,500 sqft office warehouse suite. It has 1000 sqft in office space and thats including a showroom that could also be used for climate-controlled storage. 3,700 sqft in warehouse space. 2 above ground level 15ft roll up bay doors. Insulated warehouse. Has a kitchen area. 3 phase power,6,500 sqft suite. About 1,000 sqft of office spaces and about 5,000 sqft of warehouse space. Has two roll-up bay doors and one above ground loading dock and 2 drive-in loading docks. Corner Suite. 2 showers and bathrooms. 4 private office - 1 conference room.,3 ground level roll up bay doors - warehouse 10,000 sqft - 2,500 office space",4,TX,"Office, Industrial","defaultdict(None, {})","['Sewer', 'Heating', 'Lighting']",1984,1984,10,1,2,"Warehouse,insulated warehouse,24ft ceiling warehouse,3 phase power,air conditioning,common area above ground loading dock and all suite have there own ground level roll up bay doors
Warehouse only. 60x40 warehouse insulated . One roll up door ground level.. 3 phase power... 25 ft ceiling height... Electricity included.. No Bathroom or office space warehouse only. Can add a single office and bathroom but will increase the rental price.,4,500 sqft office warehouse suite. It has 1000 sqft in office space and thats including a showroom that could also be used for climate-controlled storage. 3,700 sqft in warehouse space. 2 above ground level 15ft roll up bay doors. Insulated warehouse. Has a kitchen area. 3 phase power,6,500 sqft suite. About 1,000 sqft of office spaces and about 5,000 sqft of warehouse space. Has two roll-up bay doors and one above ground loading dock and 2 drive-in loading docks. Corner Suite. 2 showers and bathrooms. 4 private office - 1 conference room.,3 ground level roll up bay doors - warehouse 10,000 sqft - 2,500 office space
Rate includes utilities, building services and property expenses,2 Loading Docks,3 phase power,25 ft ceiling,1 Drive In Bay,Secure Storage,warehouse only,insulated warehouse,Lease rate does not include utilities, property expenses or building services,2 Drive Ins,Central Air and Heating,Kitchen,Secure Storage,Natural Light,Includes 800 SF of dedicated office space,2 Loading Docks,Reception Area,Private Restrooms,Emergency Lighting,Lease rate does not include utilities, property expenses or building services,2 Drive Ins,2 Loading Docks,Partitioned Offices,Kitchen,Emergency Lighting,Includes 1,000 SF of dedicated office space,Space is in Excellent Condition,Central Air and Heating,Reception Area,Private Restrooms,Natural Light,Rate includes utilities, building services and property expenses,Office intensive layout,24' Finished Ceilings,Central Air and Heating,Wi-Fi Connectivity,Fully Carpeted,Natural Light,Emergency Lighting,Fully Built Out as Professional Services Office,Fits 32 - 100 People,Space is in Excellent Condition,Kitchen,Private Restrooms,Security System,After Hours HVAC Available
Newly updated warehouse, office suites for lease. It is located by I-45 and Rankin Rd. Also Easily accessible to Sam Houston Parkway and Hardy Toll Road.
Typically each suite is 30% Office and 70% Warehouse 
24ft high ceiling inside the warehouse . 
Insulated warehouse, with 3 phase power. 
Move in ready
Each warehouse has its own ground level & above ground loading dock with a 15ft bay door. Bigger suites have Multiple bay doors. insulated warehouse
Onsite property manager
newskylinelisting.com
Please contact us for a showing or any additional questions
"
1039,5712-5726 Bingle Rd,['Signage'],66480,Houston,,,2020-03-28,0.65,"Located on Bingle Road near Highway 290 between Pinemont and Tidwell.
Property has Frontage on Bingle Road with Retail and Office/Warehouse units",Industrial,7050,"Listed rate may not include certain utilities, building services and property expenses,Listed rate may not include certain utilities, building services and property expenses","Frontage space. Multiple offices plus a conference  / bullpen room.  Call Trevor for details cell 7134124082 or 7135261094 ext 211.,Call Trevor for details cell 7134124082 or 7135261094 ext 211.",2,TX,"Flex, Industrial","defaultdict(None, {'Houston George Bush Intercontinental Airport': [18.9, 28.0, 40.5], 'William P. Hobby Airport': [25.4, 39.0, 39.1], 'Ellington Field Airport': [35.3, 52.0, 40.7], 'Port of Houston': [20.6, 28.0, 44.1], 'TENCON INDUSTRIES, INC.-HOUSTON-TX': [4.8, 10.0, 28.8]})","['Heating', 'Gas', 'Sewer']",1979,1979,10,1,1,"
Frontage space. Multiple offices plus a conference  / bullpen room.  Call Trevor for details cell 7134124082 or 7135261094 ext 211.,Call Trevor for details cell 7134124082 or 7135261094 ext 211.
Listed rate may not include certain utilities, building services and property expenses,Listed rate may not include certain utilities, building services and property expenses
Located on Bingle Road near Highway 290 between Pinemont and Tidwell.
Property has Frontage on Bingle Road with Retail and Office/Warehouse units
"
1040,10825 Barely Ln,None,22700,Houston,,,2020-01-15,0.7,"Compact Office Warehouse property ideal for the small user.
Located north of FM 1960 off of Jones Road",Industrial,9000,"Listed rate may not include certain utilities, building services and property expenses,Listed rate may not include certain utilities, building services and property expenses,Listed rate may not include certain utilities, building services and property expenses,Listed rate may not include certain utilities, building services and property expenses","Office with warehouse and 3 phase power. Call Mickey for details 7135537723.,2 offices and 2 bay doors with 3 phase power using contiguous spaces V and U.. Call Mickey for details 7135537723.,office with warehouse. Call Mickey for details 7135537723.,4 offices and warehouse. Call Mickey for details 7135537723.",4,TX,"Flex, Industrial","defaultdict(None, {'Houston George Bush Intercontinental Airport': [20.1, 27.0, 44.7], 'William P. Hobby Airport': [35.1, 52.0, 40.5], 'Port of Houston': [30.3, 41.0, 44.3], 'TENCON INDUSTRIES, INC.-HOUSTON-TX': [8.5, 15.0, 34.0]})",[],1984,1984,10,1,1,"
Office with warehouse and 3 phase power. Call Mickey for details 7135537723.,2 offices and 2 bay doors with 3 phase power using contiguous spaces V and U.. Call Mickey for details 7135537723.,office with warehouse. Call Mickey for details 7135537723.,4 offices and warehouse. Call Mickey for details 7135537723.
Listed rate may not include certain utilities, building services and property expenses,Listed rate may not include certain utilities, building services and property expenses,Listed rate may not include certain utilities, building services and property expenses,Listed rate may not include certain utilities, building services and property expenses
Compact Office Warehouse property ideal for the small user.
Located north of FM 1960 off of Jones Road
"
